ID,FECHA_UTC,HORA_UTC,LATITUD,LONGITUD,PROFUNDIDAD,MAGNITUD,FECHA_CORTE
0,19600113,154034,-16.145,-72.144000000000005,60,7.5,20223006
1,19600115,093024,-15,-75,70,7,20223006
2,19600117,025758,-14.5,-74.5,150,6.4000000000000004,20223006
3,19600123,033732,-12.5,-68.5,300,5.7999999999999998,20223006
4,19600130,050724,-5.5,-77.5,100,5.7000000000000002,20223006
5,19600208,190616,-8.5,-74.5,136,5.2999999999999998,20223006
6,19600213,204006,-17.5,-70,150,5.9000000000000004,20223006
7,19600309,235425,-16.388999999999999,-73.816999999999993,80,6.2000000000000002,20223006
8,19600401,131823,-14.5,-73.5,100,6.0999999999999996,20223006
9,19600504,012852,-18,-71.5,100,5,20223006
10,19600512,120924,-9,-72.5,60,5.7999999999999998,20223006
11,19600704,080207,-8,-71,600,6.2000000000000002,20223006
12,19600709,020539,-15,-70.5,200,5.9000000000000004,20223006
13,19600719,041914,-7,-80,33,5.2999999999999998,20223006
14,19600730,071515,-2.5,-77.5,200,5.7999999999999998,20223006
15,19600913,215534,-15,-75.510000000000005,67,5.7000000000000002,20223006
16,19600914,000803,-15.199999999999999,-76.200000000000003,91,5.4000000000000004,20223006
17,19600924,135833,-3,-75.900000000000006,146,6.4000000000000004,20223006
18,19600926,165813,-16,-72.900000000000006,115,5.2999999999999998,20223006
19,19601103,220219,-14.4,-71.599999999999994,55,5.2999999999999998,20223006
20,19601111,065327,-16.100000000000001,-71.900000000000006,114,5.5999999999999996,20223006
21,19601120,220156,-5.5999999999999996,-80.900000000000006,60,6.7999999999999998,20223006
22,19601129,191706,-16,-74,33,5.7999999999999998,20223006
23,19601217,073831,-15.199999999999999,-73.5,28,5.2000000000000002,20223006
24,19601222,034721,-16.199999999999999,-72.900000000000006,147,5.2000000000000002,20223006
25,19601230,110336,-17,-70,47,5.5999999999999996,20223006
26,19610108,052146,-15.9,-73.099999999999994,135,5.0999999999999996,20223006
27,19610128,032446,-13.6,-76.299999999999997,86,6,20223006
28,19610208,080413,-10.4,-71,600,6,20223006
29,19610317,100628,-11.1,-78.799999999999997,60,5,20223006
30,19610409,171747,-18.300000000000001,-70.200000000000003,29,5.2999999999999998,20223006
31,19610427,175214,-13.199999999999999,-75.099999999999994,83,6.2000000000000002,20223006
32,19610603,042156,-18.100000000000001,-70.299999999999997,60,5.2999999999999998,20223006
33,19610617,105630,-12,-75.299999999999997,29,5.5,20223006
34,19610701,131040,-15.300000000000001,-74.799999999999997,68,5.7999999999999998,20223006
35,19610703,144930,-8.6999999999999993,-79.099999999999994,57,5.7999999999999998,20223006
